ID,srcLat,srcLon
LB-98834,42.30080615,-71.11514961
LB-99532,,
LB-99413,42.35375,-71.05925
LB-99095,42.354873,-71.132348
LB-99311,42.35551082,-71.06146353
LB-99765,42.34523,-71.08713
LB-99850,42.34233,-71.07514
LB-99416,34.24438675,-73.6513909
LB-99527,42.3650591,-71.05537825
LB-98805,42.35190124,-71.06616976
LB-98994,42.36367711,-71.13003844
LB-99738,42.35115218,-71.04534874
LB-99556,42.35311664,-71.13138157
LB-99214,42.34293827,-71.0688908
LB-99275,42.34809511,-71.15023204
LB-99015,34.24438675,-73.6513909
LB-99262,42.34895,-71.04899
LB-99189,42.3726,-71.06104
LB-99041,42.34621944,-71.04309939
LB-101886,42.28298,-71.05452
LB-98799,42.350867,-71.103634
LB-99322,42.35724219,-71.14260087
LB-99301,42.35352169,-71.0461291
LB-99674,42.35017879,-71.06061023
LB-99299,42.33927577,-71.05119114
LB-101864,,
LB-99760,42.36732,-71.05335
LB-101857,42.29969939,-71.08607809
LB-99142,42.34754806,-71.08435145
LB-102018,42.32416016,-71.07398869
LB-99545,42.36405,-71.05399
LB-101985,42.337071,-71.076601
LB-99645,42.340107,-71.091002
LB-99377,42.34489024,-71.09602571
LB-99032,42.31306625,-71.05742937
LB-104346,42.33980315,-71.05272981
LB-101872,42.29923,-71.11372
LB-99023,42.34315444,-71.1017783
LB-102040,42.32828,-71.0567
LB-101942,42.34004841,-71.05229161
LB-101876,,
LB-102061,42.33538,-71.03982
LB-99121,42.346771,-71.098711
LB-99321,42.364374,-71.061546
LB-99589,42.35146698,-71.06020914
LB-98847,42.35273,-71.07335
LB-99661,42.34886459,-71.15291893
LB-99412,42.32605564,-71.06310606
LB-101870,42.29618,-71.08075
LB-99337,42.35068,-71.07036
LB-98937,42.36457,-71.06144
LB-101613,42.35283,-71.0716
LB-98973,42.36407,-71.05936
LB-99039,42.3525,-71.06416
LB-99114,42.34761669,-71.0366936
LB-99660,42.37699,-71.03023
LB-99192,42.35769,-71.05302
LB-98913,42.359387,-71.054174
LB-99399,42.35277551,-71.04197706
LB-99799,42.36292,-71.05126
LB-98931,42.34958154,-71.08015916
LB-99060,42.33162,-71.03546
LB-99263,42.360853,-71.056685
LB-101917,42.33541,-71.08053
LB-99057,42.3359033,-71.03805471
LB-101863,,
LB-99498,42.2866,-71.13017
LB-99398,42.33113,-71.04634
LB-101859,42.30548,-71.06761
LB-101929,42.31834598,-71.08147147
LB-99221,42.35120429,-71.05760128
LB-99672,42.25935875,-71.15887088
LB-98802,42.28693,-71.129707
LB-99555,42.34220187,-71.08503068
LB-101983,42.34777016,-71.07965506
LB-99150,42.35738784,-71.14469092
LB-99771,42.3438137,-71.10169967
LB-99422,42.32168302,-71.09216832
LB-99188,42.33231316,-71.05329617
LB-101960,42.28618368,-71.13004895
LB-99335,,
LB-99773,42.35121,-71.06037
LB-99044,42.34602342,-71.06246091
LB-99180,42.35257491,-71.04214791
LB-99547,42.35308835,-71.13111907
LB-99251,34.24438675,-73.6513909
LB-99433,42.35228,-71.06622
LB-99601,42.32273,-71.10325
LB-99233,34.24438675,-73.6513909
LB-99683,42.35290223,-71.13298104
LB-101855,,
LB-99590,42.31143385,-71.11466174
LB-99058,42.33577243,-71.03593618
LB-99257,42.30053,-71.112809
LB-99300,34.24438675,-73.6513909
LB-99759,42.36338,-71.0526
LB-99866,42.36486,-71.06185
LB-99757,42.3363,-71.04743
LB-99123,42.358902,-71.146953
LB-98791,42.2997,-71.0444
LB-98930,42.36053582,-71.05485795
LB-99021,,
LB-99051,42.35128915,-71.0431969
LB-98936,42.344648,-71.096299
LB-98902,34.24438675,-73.6513909
LB-99796,42.35365833,-71.05821237
LB-101936,42.29278086,-71.12172026
LB-98896,42.37483495,-71.0670085
LB-101953,42.35650571,-71.06935635
LB-99495,42.35135,-71.05694
LB-98792,42.3076644,-71.08240593
LB-99763,42.33392,-71.10354
LB-99177,42.35668,-71.05257
LB-98888,42.2986053,-71.05757849
LB-101907,42.3498,-71.08244
LB-101939,42.29163,-71.072
LB-99717,42.35308848,-71.13115976
LB-99512,42.34679,-71.08871
LB-101952,42.3579422,-71.07020741
LB-99179,,
LB-99630,42.32878879,-71.05710863
LB-99612,42.379018,-71.02859
LB-99561,42.33579,-71.03757
LB-101970,42.285907,-71.110345
LB-99748,42.36434,-71.05416
LB-102020,42.3661,-71.05153
LB-99611,,
LB-101919,42.30567084,-71.11454894
LB-102023,42.33308,-71.10808
LB-99265,42.291827,-71.122157
LB-99307,42.35236123,-71.06155719
LB-99014,42.35142855,-71.05786026
LB-99005,42.3654,-71.05142
LB-101928,42.26830106,-71.17038238
LB-99137,42.36146998,-71.05683911
LB-99071,42.35852831,-71.05836352
LB-101911,42.34259,-71.09723
LB-99169,42.35310867,-71.04721985
LB-98901,,
LB-99420,42.361014,-71.056731
LB-101894,42.34130441,-71.0872781
LB-99052,42.36117,-71.05678
LB-98801,42.3571,-71.06652
LB-99269,42.30689663,-71.06663165
LB-98914,42.36169684,-71.05657696
LB-99816,42.35310867,-71.04721985
LB-99116,42.34679,-71.06942
LB-99441,42.34876475,-71.07807023
LB-99811,42.364414,-71.055372
LB-99240,42.39443,-71.00029
LB-99408,42.35979968,-71.06020106
LB-119003,42.28723,-71.12763
LB-99315,42.36684564,-71.05133978
LB-99165,34.24438675,-73.6513909
LB-101655,42.35745098,-71.06070032
LB-99201,34.24438675,-73.6513909
LB-99583,42.344946,-71.10057
LB-99358,42.35013,-71.07956
LB-101951,42.36031467,-71.07057059
LB-99647,42.337071,-71.076601
LB-99599,42.28648016,-71.12900841
LB-98949,42.34861795,-71.08361985
LB-98924,42.36102,-71.06319
LB-101932,42.31533,-71.09854
LB-99835,42.370601,-71.038751
LB-99149,42.370207,-71.039361
LB-99792,,
LB-99842,42.3438,-71.06631
LB-98974,42.36629,-71.0622
LB-98778,42.34823,-71.08505
LB-98977,42.36444408,-71.06267614
LB-99346,42.34882262,-71.07209873
LB-98995,42.36689329,-71.0599361
LB-99245,42.28609194,-71.06472836
LB-101904,42.37564057,-71.03934338
LB-99338,42.35687304,-71.06026035
LB-101576,42.34359254,-71.04466693
LB-99153,42.35946155,-71.05548049
LB-99755,42.28376,-71.05535
LB-101574,34.24438675,-73.6513909
LB-99191,42.34136,-71.07015
LB-101997,42.34982,-71.04804
LB-99457,42.34857,-71.07304
